id,User,Date,Tweet
50,officialABAT,2019-11-18 17:21:45+00:00,4. It shows that the people have no appetite to return to the failed policies and practices of the past. David Lyon’s election represents a significant shift in the politics of Bayelsa State.
51,officialABAT,2019-11-18 17:21:44+00:00,"3. Their victories stand as testament to the growing acceptance of our party, the quality of our leadership and governance and the credibility of our promise to lead the people and the nation to the Next Level."
52,officialABAT,2019-11-18 17:21:44+00:00,2. The outcome of these elections shows that the people believe in the direction that President Buhari and the APC wish to take this nation. The electorate has faith in the progressive reforms our party envisions.
53,officialABAT,2019-11-15 19:42:31+00:00,10. May the soul of Chief Akinyele find eternal rest in the bosom of the Lord.
54,officialABAT,2019-11-15 19:42:30+00:00,9. My condolences also go to Governor Oluwarotimi Akeredolu and the government and people of Ondo State.
55,officialABAT,2019-11-15 19:42:30+00:00,"8. I mourn with his professional colleagues, the Public Relations practitioners and members of the Nigeria Institute of Public Relations."
56,officialABAT,2019-11-15 19:42:29+00:00,"7. My thoughts are with his family, friends and relations at this moment. May they find the strength to live through his passing."
57,officialABAT,2019-11-15 19:42:29+00:00,6. He was full of life. He was unmistakable with his sartorial elegance.The country he did his best for will sorely miss him.
58,officialABAT,2019-11-15 19:42:28+00:00,5. Chief Akinyele radiated warmth and tenderness. To meet him is to like him.
59,officialABAT,2019-11-15 19:42:28+00:00,"4. He was also one leader who was very proud of his Yoruba, indeed Ondo heritage, and demonstrated this often in his appearance and conduct."
60,officialABAT,2019-11-15 19:42:28+00:00,3. He did his best as Minister of Information and later Chairman of the Nigerian Sports Commission.
61,officialABAT,2019-11-15 19:42:27+00:00,2. Chief Alex Akinyele was an elder statesman. He served the country to the best of his abilities.
62,officialABAT,2019-11-15 19:42:27+00:00,"1. Condolence for Alex Akinyele’s Family, Professional Colleagues."
63,officialABAT,2019-11-09 21:43:25+00:00,"8. “And the Hereafter will be better for you than the first life.

And your Lord is going to give you and you will be satisfied”.

“Ma Salam.”"
64,officialABAT,2019-11-09 21:43:24+00:00,"7. We pray that Allah in His Infinite mercy continue to support you, bless your family and all the things you cherished.

For the Almighty Allah says in Qur’an 93 Verse 3-5 thus:

“Your Lord has not abandoned you nor detested you,"
65,officialABAT,2019-11-09 21:43:24+00:00,"6. As you age gracefully, we pray that Allah continue to keep you in good health and continue to grant you His blessings.

At 80, my prayer for you is as follows:"
66,officialABAT,2019-11-09 21:43:23+00:00,5. Our country is lucky to have you at this particular time. I’m highly honoured and privileged to know you because knowing you is a wonderful thing.
67,officialABAT,2019-11-09 21:43:22+00:00,"4. A man of great character, you have been a resourceful pillar of support for our president, Muhammadu Buhari. Many have rightfully described you as imbued with immense talents, your character, however, remains an inspiration to me in particular."
68,officialABAT,2019-11-09 21:43:21+00:00,"3. You are a reputable veteran journalist, successful entrepreneur, a nationalist and an Islamic faithful who has made important contributions to this country. Indeed, you have done a lot for our country."
69,officialABAT,2019-11-09 21:43:21+00:00,"2. Your life is a study in high integrity, humility and discipline. An extremely private person who hardly talks about himself, your accomplishments, however, speak highly of you."
70,officialABAT,2019-11-09 21:43:20+00:00,"1. Mamman Daura at 80
At 80, you are of sound mind, sound health, in high spirit and remain as brilliant, radiant and quick-witted as you have always been. Alihamudulilai. We are grateful to Almighty Allah for this and we pray for many more years for you."
71,officialABAT,2019-11-05 23:00:00+00:00,"21. The end result will be an economy transformed into one that provides hope, opportunity and meaningful livelihoods for all.

Indeed, we move toward a New Deal for Nigeria."
72,officialABAT,2019-11-05 23:00:00+00:00,"20.  It will do so with an eye to reforming what needs to be reformed and improving what needs to be improved. Just as the oil sector has been made better, all other sectors of the economy will be strengthened."
73,officialABAT,2019-11-05 22:59:59+00:00,"19. The amended Deep Offshore Act is not an isolated, solitary act. It is a harbinger.Just as the amended Act brings to the oil sector overdue reform that will benefit national development, the Buhari administration will take a critical look at all major segments of the economy."
74,officialABAT,2019-11-05 22:59:59+00:00,"18. ...and policy. Along with his ministers and other officials, the EAC will offer the president their best professional advice on how to improve all aspects of the economy and government’s role in it."
75,officialABAT,2019-11-05 22:59:58+00:00,"17. President Buhari is intent on reforming the economy that it may answer the needs of the majority of our people.  Establishing the Economic Council of Advisers (EAC) was an innovative, bold step, assembling our nation’s top economic minds to shape economic programmes..."
76,officialABAT,2019-11-05 22:59:58+00:00,"16. He had to grapple and make headway with these fundamental problems before shifting primary focus on economic reform. As the title of Chief of Staff Kyari’s composition indicate, we now move toward a New Deal for Nigeria."
77,officialABAT,2019-11-05 22:59:58+00:00,15. President Buhari first had to tackle insecurity and the terrorism of Boko Haram. He then had to throttle corruption in official circles so that government could be responsive to the people’s needs instead of serving those who enriched themselves from government coffers.
78,officialABAT,2019-11-05 22:59:57+00:00,14. Such beneficial reform is what the Buhari government seeks but in a more complex and challenging environment. The American challenge was exclusively economic. The Nigerian challenge is multi-faceted.
79,officialABAT,2019-11-05 22:59:57+00:00,"13. In so doing, he would reform, at times reinvent, the nation’s economic institutions and laws. This would change the relationship between the average citizen and the American government for the better. This was the essence of the New Deal."
80,officialABAT,2019-11-05 22:59:56+00:00,"12. Faced with steep economic challenges, the administration of Franklin Roosevelt dedicated itself to reforming the economy in order to bring prosperity to a hurt and struggling population."
81,officialABAT,2019-11-05 22:59:56+00:00,"11. ...principled leader to steer the nation out of danger. No two historical situations are identical. But, there are important similarities between our circumstance and the challenges America faced during that period."
82,officialABAT,2019-11-05 22:59:56+00:00,"10. The people would vote to remove the austere, insensitive party that had governed the nation for over a decade simply by catering to the wealthy. The people voted for a compassionate, progressive government headed by a committed..."
83,officialABAT,2019-11-05 22:59:55+00:00,9. Chief of Staff Kyari titled his commentary “Toward a New Deal for Nigeria.” This is appropriate and more than symbolic. The title recalls a challenging time in the history of the United States. That nation was in the throes of economic contraction.
84,officialABAT,2019-11-05 22:59:55+00:00,"8. This time, finally, the national interests were considered weightier than the special interests of a few. President Buhari and the National Assembly leadership should be commended for this singular achievement."
85,officialABAT,2019-11-05 22:59:54+00:00,7. The amendments demonstrate the important progress to be made when the National Assembly and the Presidency work in harmony for the collective good. Efforts by past governments to amend the law got bogged in failure due to the intervention of special interests.
86,officialABAT,2019-11-05 22:59:54+00:00,"6. The companies are Nigeria’s long-term business partners and we have no interest in denigrating them; all we seek is a fair, equitable relationship. The new amendments provide this."
87,officialABAT,2019-11-05 22:59:53+00:00,"5. This was no attempt to deprive the oil majors. We want the firms to make a just profit for their efforts; however, they have been receiving a surplus at the expense of our minimal developmental needs. This is not as things should be."
88,officialABAT,2019-11-05 22:59:53+00:00,4. Billions of dollars that should have landed in our national coffers to fund public infrastructure and essential social services instead found residence in the balance sheets of the oil firms.
89,officialABAT,2019-11-05 22:59:53+00:00,3. ...Presidential Chief of Staff Abba Kyari rightfully asserted the financial provisions of the old law had outlived their stated purpose. Continuation with this outmoded financial regime enriched the oil companies while depriving Nigeria of a fair bargain.
90,officialABAT,2019-11-05 22:59:52+00:00,"2. WITH the action by the National Assembly to improve the outdated Deep Offshore Act through legislative amendment, Nigeria has turned an important corner. As stated in his insightful, forward-looking commentary published in the November 1 edition of Thisday newspaper..."
91,officialABAT,2019-11-05 22:59:52+00:00,1. The coming prosperity https://t.co/I2dlSU7QXS
92,officialABAT,2019-11-01 00:55:56+00:00,12. We thank God Brigadier Johnson lived to an advanced age and left behind good children and significant legacies. May his soul Rest In Peace.
93,officialABAT,2019-11-01 00:55:56+00:00,11. My condolences also go to Governor Babajide Sanwo-Olu and the state government over the transition.
94,officialABAT,2019-11-01 00:55:55+00:00,"10. Nigeria will miss him; Lagos will miss him. We will all miss him. I commiserate with his wife, children and other family members."
95,officialABAT,2019-11-01 00:55:55+00:00,9...by the three-man panel commissioned to investigate the various allegations of corruption among the state governors who served under General Gowon.
96,officialABAT,2019-11-01 00:55:54+00:00,8. He was a man of high integrity. Johnson was one of the two state Governors (along with Brigadier-General Oluwole Rotimi) who was given a clean bill...
97,officialABAT,2019-11-01 00:55:54+00:00,7...he laid the foundation for the development of the Federal Capital Territory as the first administrator of the former Federal Territory of Lagos in 1966.
98,officialABAT,2019-11-01 00:55:54+00:00,6. Johnson made laudable contributions to the unity of the country as one of those who fought for Nigeria’s indivisibility. A committed nationalist...
99,officialABAT,2019-11-01 00:55:53+00:00,5. He was always available to advise and extend a helping hand to successive regimes in Lagos and particularly to me during my time as governor.
100,officialABAT,2019-11-01 00:55:53+00:00,"4. He contributed immensely to the state, developing the civil service. His tenure in Lagos also witnessed the building of major infrastructure in the state."
101,officialABAT,2019-11-01 00:55:52+00:00,"3. First military Governor of Lagos, Johnson embodied the true spirit of Lagos. He served Lagos with dedication and determination."
102,officialABAT,2019-11-01 00:55:52+00:00,2. Brigadier-General Mobolaji Olufunso Johnson who died on Wednesday at 83 was an important national statesman and one of the true fathers of Lagos.
103,officialABAT,2019-11-01 00:55:52+00:00,"1. Mobolaji Johnson: Nigerian Statesman, True Father of Lagos"
104,officialABAT,2019-10-30 18:01:09+00:00,"You are the backbone and best hope of our land. President Buhari and the APC shall work for your benefit and on your behalf in order to realize our common dream of a better nation.

Today we moved a step closer to that dream."
105,officialABAT,2019-10-30 18:01:08+00:00,"17. Most importantly, it is fitting to commend the people of Nigeria.  You are a law-abiding and good people. You voted in peace and good faith and you awaited the judicial process in like manner. You expect nothing from government but what it ought to do for you."
106,officialABAT,2019-10-30 18:01:08+00:00,"16. As I stated before, I know the magnanimity of President Buhari. His hand is extended to them in friendship and cooperation. For the good of the nation, I urge them to take it."
107,officialABAT,2019-10-30 18:01:07+00:00,"15. I ask them to now channel the formidable energy and intellect they deployed in the electoral and legal processes toward joining with us, to the extent possible, to move this nation more rapidly and assuredly forward."
108,officialABAT,2019-10-30 18:01:07+00:00,"14. However, the verdict of history will be that their comportment thus far has helped strengthen our political democracy &amp; its legal safeguards. I pray that they recognize the importance of this and that this service to the nation provides them a degree of solace going forward."
109,officialABAT,2019-10-30 18:01:06+00:00,"13... and peaceful, legal resolution of their grievances. This is as it ought to be. In an election there can only be one winner. By conducting themselves as they have, the PDP may not have gained the verdict they wanted in court."
110,officialABAT,2019-10-30 18:01:06+00:00,"12. They behaved like good democrats by seeking redress through the courts as is their right. This was the legal and moral thing to do. Although we are political opponents, I must commend them for following the pathways of democracy..."
111,officialABAT,2019-10-30 18:01:06+00:00,"11. Although they lost at the polls, they did not seek to overturn the system. Instead, they respected the system that had so often decided in their favor in previous elections and judicial proceedings."
112,officialABAT,2019-10-30 18:01:05+00:00,10. We must commit ourselves fully to this profound and august task. I must also give due respect to the PDP and former VP Atiku for the energetic electoral campaign they conducted and for their tenacious pursuit of what they believed was their legal remedies.
113,officialABAT,2019-10-30 18:01:05+00:00,"9. With these electoral and legal victories now behind us, the APC must give due honor to the faith the people have reposed in us. They expect us to govern in a way that produces the shared prosperity and enlightened future they deserve."
114,officialABAT,2019-10-30 18:01:04+00:00,8. I congratulate President Buhari and the entire APC on a well-deserved legal affirmation of a hard-won electoral victory. The victory is a result of the President’s hard work and of the trust the people have in him as a committed leader.
115,officialABAT,2019-10-30 18:01:04+00:00,"7. By extension, I must recognize the vast majority of the judiciary for the impartial administration of justice in electoral and other matters. Improvements are still needed in some areas but we have come far and are faced in the right direction."
116,officialABAT,2019-10-30 18:01:03+00:00,"6. I thus commend the Supreme Court for its expeditious and highly competent treatment of this important matter. In so doing, it undergirded its reputation as the highest court in the law and the ultimate guardian of the rule of law in our nation."
117,officialABAT,2019-10-30 18:01:03+00:00,5. The law is the law. Nothing is to be added to it and nothing subtracted from it. No one should enjoy undue favor or suffer unjust prejudice from its application.
118,officialABAT,2019-10-30 18:01:03+00:00,"4. Democracy has been affirmed and strengthened. By its ruling, the Supreme Court also affirmed that the rule of law is paramount; that the law is to be applied objectively, without regard to fear, friend or foe."
119,officialABAT,2019-10-30 18:01:02+00:00,3. The sun rose high in the Nigeria sky today to shine its light over the entire land.This decision and this day will be recorded as important milestones on Nigeria’s insuperable march toward perfecting democracy and the rule of law across our land.
120,officialABAT,2019-10-30 18:01:02+00:00,"2.  Today, the rule of law conclusively affirmed the collective voice of the people by dismissing the petition filed by the Peoples Democratic Party (PDP) and their presidential candidate, former Vice President Atiku Abubakar."
121,officialABAT,2019-10-30 18:01:01+00:00,"1. Presidential Election: Supreme Court Affirms Will of The People

On February 23, the people tendered the foremost expression of their sovereign, democratic will by voting for the reelection of President Muhammadu Buhari."
122,officialABAT,2019-10-22 12:16:26+00:00,25. I congratulate ABUAD on its 10th anniversary and seventh convocation. I wish the university a successful celebration and a memorable convocation this year and for all the years to come.
123,officialABAT,2019-10-22 12:16:26+00:00,"24. Still, it is amazing what you have done in so little time. This is a lesson to us all, showing what one person with a great idea and stoutness of heart can do."
124,officialABAT,2019-10-22 12:16:26+00:00,"23. In a way, we should not be surprised by this feat because Aare Afe Babalola has always been noted for excellence."
125,officialABAT,2019-10-22 12:16:25+00:00,22. Continue to shine the light of education that Nigeria may be able to see its greater future and broader horizons may I thank Chief Afe Babalola (SAN) for having the vision and determination to establish this pre-eminent university.
126,officialABAT,2019-10-22 12:16:25+00:00,21. I congratulate ABUAD on its 10th anniversary and seventh convocation. I wish the university a successful celebration and a memorable convocation this year and for all the years to come.
127,officialABAT,2019-10-22 12:16:24+00:00,20. Asia and America to bring this university to its present enviable height. I commend him for this effort and particularly for gifting us a first class university.
128,officialABAT,2019-10-22 12:16:24+00:00,"19. Aare Babalola, I understand, has been leveraging on his contacts across the world to broker partnerships between ABUAD and other foreign universities in Europe..."
129,officialABAT,2019-10-22 12:16:24+00:00,"18. Still, it is amazing what you have done in so little time. This is a lesson to us all, showing what one person with a great idea and stoutness of heart can do."
130,officialABAT,2019-10-22 12:16:23+00:00,"17.  In a way, we should not be surprised by this feat because Aare Afe Babalola has always been noted for excellence."
131,officialABAT,2019-10-22 12:16:23+00:00,"16. As I end, may I thank Chief Afe Babalola (SAN) for having the vision and determination to establish this pre-eminent university."
132,officialABAT,2019-10-22 12:16:22+00:00,15. We must continue to do all that is within our capacities so that we hand over a steady helm and a vibrant and strengthened nation to these young people.
133,officialABAT,2019-10-22 12:16:22+00:00,14. To be considered among this illustrious group is both an honour and a privilege. I deeply treasure this moment. I will continue to do all that I can in order to live up to this acclaim.
134,officialABAT,2019-10-22 12:16:21+00:00,"13...Obi of Onitsha, His Royal Majesty Igwe Nnaemeka Achebe, and an entrepreneur and Chairman/Chief Executive Officer, Green Energy International Limited, Prof. Anthony Adegbulugbe."
135,officialABAT,2019-10-22 12:16:21+00:00,"12. that will undergird national prosperity for decades to come.

May I use this moment to also congratulate my fellow awardees-Sultan of Sokoto, His Eminence, Alhaji Muhammadu Sa’ad Abubakar 111..."
136,officialABAT,2019-10-22 12:16:21+00:00,"11... upon graduation, begin to reshape the world around them by using their knowledge and ingenuity to improve extant economic processes and to embark on novel and innovative enterprises..."
137,officialABAT,2019-10-22 12:16:20+00:00,10. I understand the university accords special attention to the Sciences and Technology. This is it as it should be.  I urge that we consider imparting solid knowledge and proper guidance in those areas where our youths can...
138,officialABAT,2019-10-22 12:16:20+00:00,"9.  In this manner we help break the fetters of underdevelopment and expand the boundaries of economic, intellectual and moral growth."
139,officialABAT,2019-10-22 12:16:19+00:00,"8. If we do not board the train of progress, it will pass us by. This means we must acquire and use the scientific and technological skills of the 21st Century to advance our common purpose."
140,officialABAT,2019-10-22 12:16:19+00:00,7. The world of progress beckons to us to join it. We are gladdened by the invitation but we dare not tarry too long. For time waits for no person and no nation.
141,officialABAT,2019-10-22 12:16:19+00:00,"6. For this, we must roundly commend and congratulate the university and its founder. I charge the management, the lecturers and other staff members to maintain this record, but to also to improve it."
142,officialABAT,2019-10-22 12:16:18+00:00,"5. Its record is exemplary: the National University Commission (NUC) acknowledges ABUAD as “model, benchmark and a reference point as well as pride of university system in Nigeria”."
143,officialABAT,2019-10-22 12:16:18+00:00,"4. Afe Babalola University, Ado-Ekiti (ABUAD) is dedicated to providing that stellar education. Since its inception about 10 years ago, this university has distinguished itself."
144,officialABAT,2019-10-22 12:16:17+00:00,"3. To educate a generation is to secure the future. Thus, it is indeed my honor to be here with you for this university stands as a shining beacon, casting the light of education upon our nation and its people."
145,officialABAT,2019-10-22 12:16:17+00:00,2. Education is the light of a nation and ignorance its darkness. Only with that light can we hope to see where we are and to discover the path we must go to realize our greatness as a nation.
146,officialABAT,2019-10-18 17:47:11+00:00,"7. I pray that God grant him many more years, good health and vitality to continue to contribute to nation-building and development and be a shining example to the younger generation that he has always been."
147,officialABAT,2019-10-18 17:47:10+00:00,6. General Gowon was also one of the leaders who worked assiduously towards the formation of Economic Community of West African States (ECOWAS) to drive integration in the sub-region.
148,officialABAT,2019-10-18 17:47:10+00:00,5. The General also laid the foundation for the decentralization of the country with the creation of additional states and the division of Nigeria into 12 states.
149,officialABAT,2019-10-18 17:47:10+00:00,4. He has n’t looked back since then. He has not relented in his efforts geared towards forging national integration even at this advanced age. General Gowon has continued with the task of engendering peace and unity in the land with the ‘Nigeria Prays’ project.
150,officialABAT,2019-10-18 17:47:09+00:00,"3. It’s on record that after the civil war, General Gowon propounded the ‘No Victor, No Vanquished’ policy aimed at bringing about national reconciliation, which thrives on his personal influence."
151,officialABAT,2019-10-18 17:47:09+00:00,2. Nigeria owes General Gowon a debt of gratitude for his efforts at resolving ethnic tensions that threatened to fatally divide the country and for his continued and untiring efforts at building One Nigeria.
152,officialABAT,2019-10-18 17:47:08+00:00,"1. I congratulate former Head of State, General Yakubu Gowon, as he clocks 85 on October 19, 2019. He is a statesman and national icon who contributed enormously to Nigeria’s unity and development."
153,officialABAT,2019-10-01 18:21:39+00:00,6...so that we may continue to strengthen our national institutions and our very country. I congratulate all Nigerians on this 59th independence anniversary and urge you all to come along in the march to the Next Level”.
154,officialABAT,2019-10-01 18:21:38+00:00,5.The journey to our greater destiny has begun and I enjoin you all to support one another and President Buhari’s administration in this journey. I ask you all to remain committed to our highest national purpose...
155,officialABAT,2019-10-01 18:21:38+00:00,"https://t.co/rXruoKnU7N Nigerians, let us recommit our energies to building a better Nigeria and rededicate ourselves to the vision of our nationalists who saw greatness in this country and worked assiduously to advance it."
156,officialABAT,2019-10-01 18:21:38+00:00,"3.This day that we mark is truly a day to celebrate the independence of a nation of resilient, strong and industrious people who have decided to join together in common purpose that each of us may enjoy a democratic prosperous and just existence."
